TF	spearman_pval	spearman_rho	spearman_adj_pval
FOXF2	0.10489593283963	0.213208649912332	1
FOXD1	0.394231158301262	0.112741087083577	1
IRF2	0.000252305739714473	-0.463880771478668	0.100922295885789
PAX6	0.586633588694111	0.0720631209818819	1
PBX1	3.19060103644703e-07	0.620806545879603	0.000127624041457881
RORA	0.310897713510134	0.13395675043834	1
RREB1	0.231950042674288	-0.157802454704851	1
REL	2.50850945251343e-06	0.578842781998831	0.00100340378100537
RELA	0.318396045044252	0.131911163062537	1
ZNF354C	0.864036733927591	0.0227352425482174	1
CTCF	8.31031899463314e-05	0.495149035651666	0.0332412759785326
REST	0.0175545129188772	0.309117475160725	1
PLAG1	0.245846522825175	-0.153243717124489	1
FOS	0.00786138921213978	0.344301578024547	1
FOSL2	0.000327578789254928	0.456107539450614	0.131031515701971
FOXH1	0.563723310387278	-0.0765049678550555	1
JUN	2.67806131238614e-06	0.577440093512566	0.00107122452495446
JUND	0.00188283268640384	-0.39906487434249	0.753133074561535
MEF2C	0.0129423560095862	-0.322910578609001	1
NR2C2	0.957646045706834	-0.0070718877849211	1
TCF7L2	8.33478138503677e-08	0.645821157218001	3.33391255401471e-05
ZBTB33	0.0197014528955009	-0.303740502630041	1
ELK4	0.0132527652410975	0.321858562244302	1
ESR2	0.0503447898837078	-0.256282875511397	1
STAT1	0.015651719733976	-0.31437755698422	1
STAT3	0.543296488796568	-0.0805376972530684	1
FOXP2	0.897421836080404	0.0171244886031561	1
SREBF1	0.153926170133754	-0.187843366452367	1
SREBF2	0.736737340526012	-0.044593804792519	1
KLF5	0.107539087464201	0.211630625365283	1
POU6F1	0.00141186127910434	-0.409117475160725	0.564744511641738
SHOX	0.662248254317503	0.0579193454120397	1
ALX3	0.983649533181198	0.00274693161893629	1
BHLHE41	0.000120816823637321	0.484921098772648	0.0483267294549284
CREB3	0.00978748243194923	-0.335067212156634	1
DBP	0.904052356669536	-0.0160140268848627	1
ELF4	0.284455661034984	0.141437755698422	1
ETV6	0	-0.698480420806546	0
FLI1	0.240435537006856	0.15499707773232	1
GCM1	0.0281947177766506	-0.286440677966102	1
GRHL1	0.321644854749591	-0.131034482758621	1
GSC	0.126165235605781	0.201285797779077	1
HEY2	0.178066580763861	0.177556984219755	1
HINFP	0.624580726549474	-0.0648743424897721	1
HSF1	0.0816375560881521	-0.228638223261251	1
IRF8	0.505254433989692	-0.0882524839275278	1
IRF9	0.00435846816264285	-0.367971946230275	1
JDP2	0.000585686207039317	0.438164815897136	0.234274482815727
KLF13	0.037813337855451	-0.271537112799532	1
LHX6	6.17994268903825e-05	0.503039158386908	0.024719770756153
MEF2B	0.700118599814853	-0.0510812390414962	1
MIXL1	0.00104433844327114	0.419345412039743	0.417735377308457
MLX	0.842252658000148	0.0264172998246639	1
MLXIPL	0.513777920628809	0.0864991233196961	1
MSC	0.848810784095435	-0.0253068381063705	1
NFIA	7.46498719169713e-06	0.554763296317943	0.00298599487667885
NFIX	3.75277036467279e-07	0.617650496785506	0.000150110814586912
NHLH1	0.000352577457352315	0.453886616014027	0.141030982940926
NKX2-3	7.42162637289996e-08	0.647866744593805	2.96865054915999e-05
NKX6-1	0.0426412741961004	0.265225014611338	1
SPDEF	0.351374018701653	-0.123261250730567	1
SRF	0.0452403561237696	0.262068965517241	1
TBXT	0.579353192405497	0.0734658094681473	1
TFAP4	0.0457357345335548	0.261484511981298	1
TFEB	0.001812601133566	0.400409117475161	0.725040453426401
ZBTB7B	4.53499931928894e-09	-0.684453535943893	1.81399972771558e-06
ZBTB18	0.075838751379411	-0.23302162478083	1
LBX2	0.0136052005877636	0.320689655172414	1
OTX1	0.807581207090604	0.0323202805376973	1
RHOXF1	0.068209691218326	0.239216832261835	1
VENTX	3.31596743628468e-06	-0.572822910578609	0.00132638697451387
ESR1	0.754101704618253	0.0415546464056108	1
ESRRB	0.910339965644444	0.0149620105201636	1
NR3C1	0.0432553944407954	0.264465225014611	1
NR3C2	0.00364721407457412	-0.374810052600818	1
RARA	0.141222310976904	-0.1937463471654	1
BCL6B	0.000147975009188073	0.479251899473992	0.0591900036752293
EGR2	0.379613072273181	-0.11624780829924	1
