D210_CLP	D211_CLP	D212_CLP	D213_CLP	D214_CLP	D215_CLP	D200_CLP	D201_CLP	D202_CLP	D206_CLP	D200_HSC	D201_HSC	D202_HSC	D206_HSC	D210_HSC	D211_HSC	D212_HSC	D213_HSC	D214_HSC	D215_HSC	D200_Immature.B	D201_Immature.B	D202_Immature.B	D206_Immature.B	D210_Immature.B	D211_Immature.B	D212_Immature.B	D213_Immature.B	D214_Immature.B	D200_Naive.CD5neg	D201_Naive.CD5neg	D202_Naive.CD5neg	D206_Naive.CD5neg	D210_Naive.CD5neg	D211_Naive.CD5neg	D212_Naive.CD5neg	D213_Naive.CD5neg	D214_Naive.CD5neg	D215_Naive.CD5neg	D200_Naive.CD5pos	D201_Naive.CD5pos	D206_Naive.CD5pos	D210_Naive.CD5pos	D211_Naive.CD5pos	D212_Naive.CD5pos	D213_Naive.CD5pos	D214_Naive.CD5pos	D215_Naive.CD5pos	D200_PreB	D201_PreB	D202_PreB	D206_PreB	D210_PreB	D211_PreB	D212_PreB	D213_PreB	D214_PreB	D215_PreB	D200_ProB	D201_ProB	D202_ProB	D206_ProB	D210_ProB	D211_ProB	D212_ProB	D213_ProB	D214_ProB	D215_ProB	D200_Transitional.B	D201_Transitional.B	D202_Transitional.B	D206_Transitional.B	D210_Transitional.B	D211_Transitional.B	D212_Transitional.B	D213_Transitional.B	D214_Transitional.B	D215_Transitional.B
FOXF2	0.0339170337673601	-0.00200379443129115	0.0118493204631494	0.00313711158333782	0.000311480360532949	0.0292590828261107	0.0196410140384478	0.0252514859946355	0.0200990912837989	0.00727898207483967	0.0120861336842998	0.0369439649254962	0.0108032287641042	0.0102660989396282	0.0208999942677047	0.009188986492304	0.0343614826125054	0.0254423552456584	0.0162380074936428	0.010339259579579	-0.0410185228288577	-0.0349810341322203	-0.0445134449137699	-0.0378266023416194	-0.0445249301831424	-0.0245312672682389	-0.0337652219214653	-0.0454826471200027	-0.0413903477760694	-0.0434212926820274	-0.0251706163742429	-0.0525056808801844	-0.0660627527816061	-0.0355421737602826	-0.0430828367760563	-0.0430032011827611	-0.0529870590473776	-0.064195473823331	-0.0577629029524239	-0.0480983587638867	-0.0260468124578716	-0.0624737538254348	-0.0444445386843188	-0.0488096232464766	-0.0496732873507466	-0.0260861986769807	-0.0532808156163932	-0.0471823807271493	0.00551227629113399	0.0166497047276232	0.0118844040056358	-0.013340358339088	0.00603820391842298	0.00687816887678299	0.0113604996407971	0.000686866503361343	-1.41101842673803e-05	-0.0106145210083718	0.0674390453975455	0.0577775007940346	0.0417143267571692	0.0571983264096049	0.0668512585468666	0.0485755568128583	0.0552559760977884	0.0565705179750669	0.0482008381431019	0.0445545232460491	-0.0606386476122749	-0.00914362139965506	-0.0591009851218145	-0.0695529364550265	-0.0484215290353322	-0.0507469070462885	-0.0507622463198205	-0.0437918579675476	-0.0599103744604314	-0.0569128215255541
FOXD1	0.0123026501453888	-0.0157457659650589	-0.00491747428925313	-0.0116318265902388	-0.0156481251501998	0.0174957400055634	-0.021536685877837	-0.00568560756893528	-0.00361708801959773	-0.00856458600756388	0.00075258228549277	0.015665331966114	-0.012042433599786	-0.0012496391749668	0.00836838112102066	-0.00275174627022569	0.023658372023891	0.0150875884340382	0.00629587290377662	0.00224500169392006	-0.0338750546339421	-0.0296257319997246	-0.0352962671197285	-0.0314167297270954	-0.0398010362348184	-0.0162904159379178	-0.0273534095870664	-0.0362574511968878	-0.0355765650043903	-0.0311938235964893	-0.0154620102144896	-0.0429637113981863	-0.0617846963275386	-0.0277790505560086	-0.0324020381595468	-0.0352713782440954	-0.0370921521853754	-0.0543953979100609	-0.0390008759093941	-0.0357494737254101	-0.0226082577425115	-0.0541698714868543	-0.0398140663783843	-0.0380531881455737	-0.0445220474642258	-0.0126578374538498	-0.0456590727067219	-0.0342300436603183	0.0157531951958388	0.0204021142475233	0.0192738392576397	-0.00333150889668572	0.0172176643254232	0.0154847309556941	0.0187550202355221	0.00815170462680949	0.0121384434436285	-0.000785577566147883	0.059699259961539	0.048738184107507	0.0323469481328454	0.0548794684416831	0.0675559894647157	0.0451515233444712	0.0516246381390636	0.0503751762253945	0.0495297252210065	0.043474736212457	-0.0498892663453082	-0.00954820584836342	-0.0529909810828356	-0.0691662001047067	-0.045177269232595	-0.0403410588645898	-0.0438592797604166	-0.0319686705988803	-0.0537296344093959	-0.0467497713788912
IRF2	0.0544224262364896	0.0177835231196579	0.0263457417532241	0.0152329093200751	0.0202272042917803	0.0419657551950422	0.00630108330387047	0.0330187091549661	0.0232409788287575	0.0135770882123075	-0.0126277143202631	0.0113285281683991	-0.0177164198193149	-0.0105499147125298	0.0057311180422709	-0.00933316575684771	0.0170705878349938	0.0134633668447214	0.00218765624966356	0.000620981857452053	-0.0509232844502478	-0.0376303954584071	-0.0361190018532632	-0.03090112156583	-0.0190144859786512	-0.0177885955898778	-0.0191932705269867	-0.0312568096922291	-0.0346834936724249	-0.0127676989106142	-0.00876395055431772	-0.00994088219095127	-0.028816502548129	0.0130418847978689	-0.00179231574329566	-0.00325041900001001	-0.0192128119597947	-0.0282119553435081	-0.0254643755254894	-0.0176593740559516	-0.0152609209562774	-0.0329751244059295	0.0026389375675761	-0.0152611120990418	-0.0104150202721599	0.00594842196258396	-0.0140097257546108	-0.00116137902806981	-0.0103261678876468	0.00153101081591741	0.00451515345058747	-0.0305661373719989	0.00491748173363984	0.00728111486394577	0.0113843957752213	0.00750207361036731	-0.0128804921318379	0.00303663034963598	0.0114327958690268	0.00989108511001116	-0.00759545301486379	0.00982558308645569	0.0347607700181884	0.00727082252384182	0.0153274652983081	0.0126810038473077	-0.000842594224564208	0.0130367326076144	-0.0347305122620713	0.00039634996432529	-0.0339490677437024	-0.0460285759985762	-0.0066042017865876	-0.0132625372016676	-0.0145476867062994	-0.0102165657827551	-0.0244350739489327	-0.00878249076233654
MAX_MYC	0.00724594777071762	0.0121385294028384	0.00529489164364236	0.0159708912055973	0.00106399177141047	0.0203639760828667	-0.00314368184001369	-0.00676059141656621	-0.00146429547405641	-0.000795831889456144	-0.00962591912201146	-0.0157640241969724	-0.0197647946986291	-0.00297779992870764	-0.00864143987283132	0.00913953260389209	0.00497407055000759	0.01909814824789	0.00473337935182869	0.0106690788978325	-0.0380956901779753	-0.0170781309765179	-0.0235357651129653	-0.0214158260823469	-0.0242469421162622	-0.00920847267279165	-0.0101082158650839	-0.0110903270959692	-0.0184842885219486	-0.0445905120021539	-0.0189963017620482	-0.0401301175163501	-0.0561764207276253	-0.0212556884528138	-0.022192336879011	-0.0237488338751578	-0.0395583227686598	-0.0477382795556774	-0.0612997758154341	-0.0473191804215169	-0.0351713885772145	-0.0577948362434883	-0.0291053973293117	-0.0338541773337739	-0.0284599948779097	-0.0224696460087757	-0.0373021581454322	-0.0185340313537657	0.0118677897773975	0.0169925576539831	0.00879843736509232	0.0148254574591632	0.021327506045719	0.0243789674297878	0.0257467975676155	0.0265086458140473	0.0152562639079303	0.0299304628207936	0.0179207135430256	0.0211732767262905	0.0183717704639001	0.0193273116739139	0.026073174080806	0.0261592145801745	0.0247096927268557	0.0310867738904259	0.0240660238735422	0.0310776024783379	-0.052026345796313	-0.0293746331835327	-0.0441000633290387	-0.0633675712828964	-0.0252563322586686	-0.0279709096663853	-0.0234899611168396	-0.0253535023302051	-0.0380422878413653	-0.0198888714863738
PPARG	-0.0034259561876936	-0.0022496012768669	-0.00796830933810949	0.00165298798827913	-0.00593773382094616	0.0024615311125486	0.0196424772460225	-0.0131325630379912	-0.0175015055722072	-0.00190629974813853	-0.0339086224796822	-0.0278331106992638	-0.0417813131581768	-0.0214379754109561	-0.00930270537081174	-0.0185807073934166	-0.0109922847604073	-0.00412558003387185	-0.0174579875392961	-0.0132510660825742	-0.0256003622042201	-0.0109339787632938	-0.0139842549814457	-0.00993878741565211	-0.0217169196792902	-0.00472886117298813	-0.00010360507946162	-0.00761989303228798	0.00108003145496274	-0.0395906167074015	-0.0359255123738271	-0.0214709057336814	-0.000319534822643725	-0.0104984930509572	-0.0186878686198669	-0.0167132186214782	-0.0330293431079715	-0.0261030646348613	-0.0194544893199934	-0.0355960184324546	-0.048241299629318	-0.0118211352532276	-0.0133191491166864	-0.0209144618375963	-0.0193962307212543	-0.0244389603163705	-0.0244850394963207	-0.0188012991971469	0.0319872405420822	0.0381504414812682	0.0146173817316047	0.0397397158874335	0.0419435775506397	0.033230150715197	0.0425064835442552	0.0415949989807339	0.0309548860760236	0.0431267100868613	0.00391475044483039	0.0138696157422233	0.00892265699495208	0.015615496702927	0.0257569015194446	0.0167068756571027	0.0197581158611146	0.0239958106696614	0.0217929297284517	0.0227421467910281	-0.0321075210365411	-0.0499938975008427	-0.0339675537964781	-0.0144886265887392	-0.00808104694127185	-0.0178960166205597	-0.0123402555668971	-0.0205108018501002	-0.0193753329067141	-0.0170959186593076
PAX6	-0.00871076848343975	-0.0285320804229604	-0.0206866225237292	-0.0220249458926257	-0.0295368566516847	-0.00161914851101948	-0.012526578952805	-0.0146953582580799	-0.0175348314587479	-0.0315758658055375	-0.0240616046156915	-0.00646509461876653	-0.0302088505504256	-0.0242882679299392	-0.0263211959814875	-0.0249697090937487	-0.00716683310571781	-0.00721107161843772	-0.017186397830367	-0.0174855554009216	-0.0343929127145456	-0.0201794307109528	-0.0139933226986914	-0.0106662163957934	-0.0132692243484957	-0.00434185305657893	0.00194026090052496	-0.00759817632518889	-0.00614046163910941	-0.024864204112458	-0.0160898935791646	-0.0144526390819215	-0.00648910843741592	0.000266055883094807	-0.00817116735195408	-0.00520023022332692	-0.0306633291491325	-0.0208569381654076	-0.0176922939685952	-0.0233031472740743	-0.0234217930734632	-0.0170596308421113	-0.00639464772139053	-0.0168682610037971	-0.0119395865141057	-0.00982769567026937	-0.0134907003536257	-0.0089633725370949	0.00922005525579762	0.010836071586964	0.0154901932651995	0.000295529378653635	0.0129481408498919	0.0195363989864048	0.0254063564346385	0.0300055530867825	0.00902958367550074	0.0232646565855437	0.035395503334208	0.0314442155459887	0.024564057026448	0.0342968123230192	0.0464767463974129	0.0376121919724865	0.0384205071695802	0.0446153649357479	0.0283572274606392	0.0415479408499904	-0.027673804230713	-0.0131438119688928	-0.0265643607345926	-0.0215780056553113	-0.00545408638573417	-0.0179370161581413	-0.0138328847907675	-0.0127349974597361	-0.0168114137706272	-0.0133389777742624
PBX1	0.0296567896802169	0.00788270641626489	0.0169471619754338	0.0113397020178924	0.00939909406166425	0.03637971140999	0.0022863802321468	0.0200013787140823	0.0167212976415358	0.00868203113215544	0.0144556370929832	0.0291459535291806	0.00302790557430789	0.0101205532903817	0.0173973305312316	0.00856102120129348	0.0305592668637385	0.0283201587911156	0.0171306202725722	0.0223598467262344	-0.0441574497766376	-0.029736888353146	-0.0334395321820252	-0.0322750863033937	-0.0317712908117736	-0.0255759469208778	-0.0241703580880719	-0.0378394605212834	-0.0380204613556846	-0.0357456250174667	-0.0152234424407803	-0.0369530170291986	-0.0512073070472366	-0.0303421748702655	-0.0347091188250976	-0.0416144712133224	-0.0489221744864736	-0.0596919100662946	-0.0562050520488679	-0.0376733652698396	-0.0215044017289476	-0.0560493595219839	-0.0377408471520011	-0.040096093108734	-0.0418119073155231	-0.0277020407246805	-0.0469968185487233	-0.0396682131648589	-0.00596860176260823	0.0036763170688674	0.00359732436627966	-0.0248754435979314	-0.005209537072994	0.00534468214188297	0.00552643370661672	0.00348911020582086	-0.0113431344807368	-0.00562522315033018	0.045325736230074	0.0434499543970318	0.0321819120209437	0.0460540026675538	0.0520995528203416	0.0356318756049538	0.044392252498115	0.0418027120098276	0.036067601040035	0.0436826955375497	-0.0461091211092044	-0.0118563984324407	-0.0458155755889607	-0.0577420182375297	-0.0363326380729053	-0.0397055266700581	-0.0377800981414723	-0.0358127902716941	-0.0545366282902804	-0.0425265673749175
RORA	0.0046238011618609	-0.00340527337741016	0.000273857415953406	-0.000143915386577299	-0.00555266910609041	0.00880257812239803	-0.00331811222524675	-0.00107931762503796	-0.00711557983090914	-0.00815059484428761	-0.00787102857730715	0.00561573636647671	-0.0122222039430358	-0.00168683358264022	-0.00136812913432259	-0.00359282899588961	0.0114352760034397	0.0104519798484072	0.00149333070227899	-0.00253202748229258	-0.023456104744415	-0.0136319712387469	-0.0112350852123181	-0.0121785195153263	-0.0218926697555922	-0.00488580284780402	-0.00332598286523067	-0.0131405818786195	-0.00589498034304066	-0.0180874758359249	-0.0101059470886342	-0.0163002719912081	-0.00703221668152437	0.00265673421907475	-0.00391487468749614	-0.00492625850026446	-0.0247095687899634	-0.0176111004683877	-0.0164547120468779	-0.017978204365786	-0.0153948057188027	-0.0120703066354418	-0.00531750044465077	-0.00998600452269814	-0.0111444715500169	-0.00478862475396491	-0.00883684404997243	-0.0160924729892262	0.00666372990384109	0.0162398670006563	0.0163184544647546	0.00139843045471402	0.0139767659196221	0.0138644214034002	0.022064667001098	0.0173453289581102	0.0112646267662644	0.00761643856139371	0.00302621619178152	0.00471419171459576	-0.00723097229181795	0.00514786192604441	0.0122176735869578	0.00439744873172941	0.0076092077473353	0.0105845932328118	0.00410359001995937	0.00574540993007982	-0.0152698070725774	0.000242810525703956	-0.019312192304159	-0.0126069905056375	-0.00350688152934212	-0.00720833301899317	-0.00388401180762232	-0.00565646637745148	-0.00522157214124468	-0.0144914355460489
RREB1	0.026812279625194	0.0156572473208185	0.016024091662963	0.0186199343240689	0.0136729595133997	0.0224957730582445	0.011910345808311	0.0167625429908456	0.0176707535428635	0.01238706318179	0.00408318321434206	0.0143708479288315	-0.00206479456062908	0.000392593043030368	0.0119882962186674	0.0118118091880211	0.0223114228516942	0.0269246122815649	0.0149975043616729	0.0172197108948566	-0.0355304240184851	-0.0278458359753152	-0.0289017953822005	-0.0255453128130865	-0.0356611824247241	-0.0138242238745548	-0.0166802083745324	-0.0249162825685505	-0.00892002787168548	-0.0375579849029709	-0.0314525342936067	-0.0247351411956076	-0.0207793420221824	-0.0171211510622803	-0.0250622470205724	-0.0249752051151316	-0.0312629112180466	-0.0336148850496111	-0.0312476674581586	-0.0366127681888094	-0.0311988448692989	-0.028169115899454	-0.0223590663549141	-0.0235214156154056	-0.0263027908606148	-0.0216165593414943	-0.0308882274475202	-0.0269449403896738	-0.00624079586848902	0.0088434819335164	0.00282162921849084	-0.00193091421568745	0.0114269645481343	0.00631914549267056	0.0132895001155088	-0.000671752495667871	0.000409913975272014	0.00434254608846177	0.0133876062300115	0.0198113199714374	0.0158016269040566	0.0135651879588253	0.0238330438464563	0.0205311334405248	0.0205843017308651	0.0231157883966519	0.0182989115936063	0.0194499907493717	-0.0413140699654228	-0.0227122257076205	-0.0403703079574842	-0.032274182058562	-0.0266208582418219	-0.0254264730188143	-0.0207642502444714	-0.025047196371066	-0.0273488815837048	-0.0286925965006459
RXRA_VDR	0.0120398459105804	-0.0101553789343486	-0.00667514481146064	-0.0081147940721644	-0.00432894210302202	0.00613450953515328	0.0043522048869629	0.00329531449344883	-0.00226402112986314	-0.000770691000310325	-0.015420803512871	0.00592956653103653	-0.0147196629281671	-0.0102230962039952	0.00139151393157001	-0.0143820573088021	0.00462499560175345	0.00274409038937804	-0.00516419082074331	-0.00721940429683721	-0.0223368779671786	-0.013375858771717	-0.011636375250102	-0.0115885693691452	-0.0108792640894814	-0.00355645960255073	-0.00305409705109979	-0.018193760269955	-0.00836936373570502	-0.0301890204178033	-0.0286202261502385	-0.026888160667088	-0.018176100872278	-0.0137182708819244	-0.0208318652222864	-0.0239543140972578	-0.0432771700276421	-0.0363458541663907	-0.0338912935199131	-0.033595979186963	-0.0274796650480574	-0.0283198786506021	-0.0171824952668762	-0.0292743206849284	-0.0265287787422763	-0.0254025626577099	-0.0265255184142993	-0.0261087975729901	0.0211276190293035	0.0292993300197664	0.0219832362594144	0.0193949487030388	0.028702926579726	0.0220900856656874	0.02754537468581	0.0182493693600319	0.0134156485719666	0.0214431457932769	0.023921251138411	0.0289756381187205	0.0192090278889505	0.0269146583833622	0.0343533382490105	0.0228684894185669	0.024782879451613	0.0230795731190578	0.0232165826235401	0.0250209168515517	-0.0281320760797032	-0.0216775618399205	-0.0302020543042783	-0.016729167761641	-0.0129258454699948	-0.0233379958617589	-0.0231395460122544	-0.0255146699547775	-0.0310041049579166	-0.0278290003993893
