D210_CLP	D211_CLP	D212_CLP	D213_CLP	D214_CLP	D215_CLP	D200_CLP	D201_CLP	D202_CLP	D206_CLP	D200_HSC	D201_HSC	D202_HSC	D206_HSC	D210_HSC	D211_HSC	D212_HSC	D213_HSC	D214_HSC	D215_HSC	D200_Immature.B	D201_Immature.B	D202_Immature.B	D206_Immature.B	D210_Immature.B	D211_Immature.B	D212_Immature.B	D213_Immature.B	D214_Immature.B	D200_Naive.CD5neg	D201_Naive.CD5neg	D202_Naive.CD5neg	D206_Naive.CD5neg	D210_Naive.CD5neg	D211_Naive.CD5neg	D212_Naive.CD5neg	D213_Naive.CD5neg	D214_Naive.CD5neg	D215_Naive.CD5neg	D200_Naive.CD5pos	D201_Naive.CD5pos	D206_Naive.CD5pos	D210_Naive.CD5pos	D211_Naive.CD5pos	D212_Naive.CD5pos	D213_Naive.CD5pos	D214_Naive.CD5pos	D215_Naive.CD5pos	D200_PreB	D201_PreB	D202_PreB	D206_PreB	D210_PreB	D211_PreB	D212_PreB	D213_PreB	D214_PreB	D215_PreB	D200_ProB	D201_ProB	D202_ProB	D206_ProB	D210_ProB	D211_ProB	D212_ProB	D213_ProB	D214_ProB	D215_ProB	D200_Transitional.B	D201_Transitional.B	D202_Transitional.B	D206_Transitional.B	D210_Transitional.B	D211_Transitional.B	D212_Transitional.B	D213_Transitional.B	D214_Transitional.B	D215_Transitional.B
FOXF2	4.31269849346135	-0.344332492424856	1.87609672470543	0.482715635391303	-0.0548851401407958	4.78759731736641	1.96651749628992	3.34492262495799	2.48631739655817	0.933037298431557	1.16392473234643	3.15916001284644	0.972126276401972	1.10533086431538	2.10184321015312	0.862745873121985	3.96171997987522	2.76406588471597	1.64686176319116	1.00629859193338	-4.62443686940796	-4.87356996554545	-5.25691191556515	-4.78517976277347	-6.37267816912135	-3.60500527201089	-4.94166483440669	-5.70741299175085	-4.70599487365122	-4.40210223073146	-3.11910541722695	-5.54061254786911	-5.53280417133313	-4.83952223125729	-5.70809132231331	-5.41399572504739	-5.59519633331608	-6.18477507099675	-5.38554213679577	-4.73570773022234	-2.79523758799767	-5.49844871321995	-5.61357089626562	-6.6566319850765	-6.05224012422842	-3.79233364263816	-6.33337345070294	-6.30286825269451	0.628689571440879	1.98713194451105	1.38838386243743	-1.29411778826507	0.788599939135016	1.24992594645547	1.74173180651635	0.221044902263922	-0.00533331445783698	-1.39937148652621	10.319965108952	8.63391192876836	6.27693445477642	8.45073415423445	10.084095471935	7.93460849880087	9.02182370827014	9.61900109467207	7.02889637148045	7.53919981955752	-5.80106385672684	-1.14394402547736	-6.57449926314536	-5.74526073074921	-6.5953342346525	-7.35980655634041	-6.98568089785545	-6.38955867865259	-7.14963728271057	-7.49500531655548
FOXD1	1.55410965342665	-2.43145029261553	-0.714351514884739	-1.69332085553811	-2.51261681082523	2.8036471224557	-2.70308167997586	-0.878921906059814	-0.550109068010163	-1.05238786439319	-0.0107811836324983	1.16281924922368	-1.33129182996569	-0.150074698993387	0.755923203731412	-0.269373271182081	2.57743295547845	1.70248712240578	0.633135375498585	0.225606925382561	-3.66183665535095	-3.91064984324302	-4.27800247722842	-4.16872029429168	-6.28997832221607	-2.35516760437192	-4.13987589365684	-4.71808506618008	-3.66678224835285	-3.7312306769729	-2.26407558503309	-4.96943173875523	-4.37666682438185	-4.24530350229139	-5.29009664419953	-5.75227452952971	-4.20641179429105	-5.60273771106039	-3.67592874694342	-4.25065911764808	-2.80402113961453	-4.53751525042221	-5.84887674174369	-5.7150773506018	-7.29269926289158	-2.0874852973873	-6.08494650208114	-5.4957679209198	1.86800337637868	2.2377524771801	2.11744791888991	-0.24606460313806	2.13973977509542	2.42360972821263	2.78658270713699	1.36659114368405	1.31340810684529	0.0477955935179513	7.76358699678957	6.36262821412189	4.10591361332265	7.93357719010713	9.79078989257766	6.33920754974876	8.14599536021301	7.68872417202676	7.03574317602782	7.16981778630609	-5.7615404848664	-1.44231949436119	-6.70700581567478	-5.42716124050961	-6.78384791006031	-6.77959241476679	-7.83826293762181	-5.49032543533021	-7.52505712664847	-7.57508977531199
IRF2	7.61391125727431	3.73962444365235	5.54503970448867	3.27735538560029	4.15966434035095	8.99907683840415	0.904184117445236	4.23590394443763	3.09518254924636	2.02879250883724	-2.06838054141471	1.5620295885396	-2.86563887731406	-1.69873570464878	1.15614083140061	-1.69993543125793	3.47114083391499	2.74436091974899	0.556679812164006	0.239539711881225	-7.84313443687484	-6.51217603865601	-5.86342038790247	-5.00300539868175	-3.37758779104566	-3.37507925370776	-3.2522375536146	-4.74248654320722	-4.8340518170462	-1.69396507804471	-1.41296716367643	-1.24478326481845	-2.49895923618209	2.34811325286572	-0.231663776088468	-0.39663357657569	-2.60611808912884	-3.25184595909234	-2.40323805996894	-2.24551484117853	-2.34444031157314	-3.59926135166471	0.474655001700195	-2.43726200198132	-1.57964924546989	1.04228929439608	-1.92483580159279	-0.0613971464833507	-1.78168120608496	0.0886109303517819	0.915796161487424	-3.97059769020437	0.679604791953564	1.32537399458824	2.11967159991364	1.28650745008457	-2.00576088616755	0.421976995060972	1.70229356535657	1.36561843429044	-1.30736469862048	1.45489414027464	5.18389434990498	0.973411411321988	2.66251006003435	2.38899457036523	-0.355609866624636	2.49327632484057	-4.6286008650453	-0.312894592828951	-5.16129065830182	-4.58830058513114	-1.10785078291898	-2.47638260177781	-2.54460009430147	-1.98032679717529	-3.57013852240451	-1.48660388743497
MAX_MYC	0.609569008757776	1.69422040147722	0.738569336167378	2.34697381753254	0.110727227473308	3.39771305829022	-0.4138227037077	-0.759775139816594	-0.260062609942707	0.0746087795617516	-1.07728948066909	-1.51066790945832	-1.9127792324859	-0.387342670238638	-1.05218429584851	0.823603207558424	0.449906103102109	2.14707076621922	0.363574668884399	1.14957214461852	-4.74875016270386	-2.32820733846422	-3.24421065758508	-2.69111340440488	-2.88640924032312	-0.997985507785968	-1.25543652212	-1.2365826544343	-1.7746144282249	-5.00332159712403	-2.2634130554459	-4.25135820140863	-4.07652891335389	-2.50754402096611	-2.51703867552717	-2.64196137703312	-3.52467827757848	-4.18613827630962	-5.04123477073446	-5.2807875693266	-3.66482870576231	-4.79534499066899	-3.47887756357149	-3.46877848603266	-3.01103604704113	-2.79486274096184	-3.84184140761408	-2.0191219528965	1.82121556037772	1.94607336407024	1.05395493690027	1.74221881391706	2.35143057198719	4.25917377066453	3.12152808166157	3.8359567907167	1.9145017112612	4.54248138413634	1.75151561010519	1.85251842783096	1.73164658886281	2.13576254191293	2.27456921242934	3.11734244352268	3.09916085482588	3.82487506086777	3.07399529945893	4.33268211677779	-6.00599200193374	-2.98658390074833	-5.29519970733056	-5.23278575115548	-3.58510988976642	-3.25998818672854	-2.73252246152104	-3.25805164275657	-3.91854057028963	-2.18145512152663
PPARG	-0.435195494365296	-0.313365017975896	-1.51269968380927	0.429398293230113	-0.905294121699292	0.440734737615943	1.52899358655298	-1.37847710666702	-1.84979296322371	-0.0861633822429208	-3.73011131097701	-2.31393137372586	-4.10517470370704	-2.73468499656542	-1.07358876173334	-2.47735655568891	-1.51868967663088	-0.509891439958627	-2.16948138507353	-1.6618303279891	-2.73639821759784	-1.55118767142722	-1.9610654113109	-1.12385029992801	-2.84161886082763	-0.582508361359738	-0.00587258816379678	-0.814729434514515	0.118296532917987	-4.49763137070903	-3.7744955643038	-2.05035812175385	0.0139774664415392	-1.52304818402212	-2.08584931365669	-1.92838126258982	-2.70767680749805	-1.99700212564347	-1.55964908392436	-3.83909964129268	-5.19125693225409	-0.896818745317274	-1.91973460446266	-2.22958372957734	-2.02489212960028	-2.92310449380022	-2.22312137305665	-1.84493853791174	4.11073639353981	4.30634736559741	1.57123808609647	3.83830810431395	4.50755928442896	4.97669086256823	5.42247804395905	6.00714577570022	3.72332306786486	5.95996984473688	0.347863923247359	1.23599535323968	0.805773621609952	1.89756256924543	2.63294480531074	2.04877098685486	2.79719896719328	3.45456106567898	2.83425578325156	3.63965739959008	-3.68948389696193	-8.07251193982144	-4.05130001313179	-1.19073905730216	-1.21112567185053	-2.10252821172982	-1.46493449325488	-2.27378831995367	-1.85017635666603	-1.76485178589056
PAX6	-0.870143404321622	-3.18752154337321	-2.70146945990218	-2.34476349790763	-3.28659997133048	-0.231691122624189	-1.35609834775995	-1.45423183896062	-1.59782814703651	-3.09827274159272	-1.74760028766509	-0.450162909316475	-2.17240478162783	-2.00171553399232	-2.04721808822077	-1.91197776649033	-0.614973393857131	-0.395329612769663	-1.3074813986696	-1.40028029628774	-2.61020656046751	-2.18205741812979	-1.1696913850837	-0.80930603140641	-1.14925628090451	-0.310903141826592	0.354712067995073	-0.619432031148948	-0.500655044323639	-1.75899833757774	-1.34263915769942	-1.06174204951389	-0.387295383893216	0.125283317151929	-0.616370629360944	-0.446250662188573	-2.16510943175918	-1.34702625981797	-1.02577804510171	-1.58383589177687	-1.82836587986064	-1.00793339329258	-0.688584227265942	-1.43537720421743	-1.09181024441031	-0.790405020796224	-1.11094371389983	-0.766853679195693	0.962100843116342	0.750404522010769	1.13949103200533	-0.139827228543778	0.957405728671502	2.13458504343144	2.41149741050423	3.46489031883296	0.72537397768893	2.32068207579582	2.94566036915385	2.46814742088436	1.85252985461322	2.87315978424287	3.6770559014824	3.35749827410457	3.4486839013892	4.28353093697077	2.21849218342608	3.69355717060506	-1.84623137196792	-1.02308403696731	-1.92551173589073	-1.1587544294116	-0.425323920741149	-1.59041799104249	-1.55428937209573	-1.07574566594296	-1.32165679089525	-1.21194498610882
PBX1	3.99460234971671	1.0327162060233	2.50413506151494	1.83082040951989	1.29537540408651	6.20356690161783	0.530057172812156	2.16418177528885	2.15216948379939	1.54745371582195	1.40330770039938	2.47450946218678	0.354134839905727	1.1258498373368	1.88639357606637	0.805863448708891	3.45229662761024	2.98326451026196	1.71363081166709	2.20707049318332	-5.02817657985549	-4.50283599189216	-4.6504077686356	-4.64956583202821	-4.55099070227743	-4.97529013804611	-3.72291665227201	-5.2273523989827	-4.8937065153513	-2.86600913716942	-1.79992500853839	-2.89959263867876	-2.80840961395427	-3.05299729272402	-3.81226609009747	-4.20198917281231	-4.41993266853865	-4.63255426243701	-3.74756384073994	-3.09171119375528	-2.10862549926534	-3.76161071208267	-3.8604378404471	-4.17832456528072	-4.4643602130686	-3.31975249877382	-4.39550092848836	-4.19814702916331	-1.07769961709524	0.197391855743436	0.217090986721673	-2.43087542081228	-0.866829439006985	0.543521930329092	0.423110687271554	0.206289999183161	-1.65283277753606	-0.936496190644386	6.63794062360741	5.4096210768125	4.21596602551012	5.56137342191949	6.08179758175309	5.01216409727839	5.77092739967014	5.97561151632945	4.16662152418872	5.60530136698704	-4.25365983879202	-1.28074548925707	-4.67505303856249	-4.14865603274181	-4.56211053067588	-4.65736287836114	-4.71365028156157	-4.61601949431947	-5.80398863063968	-5.02705833613954
RORA	0.34477630684244	-0.865254582062016	-0.313902877602597	-0.217031644455859	-1.23100757263736	1.40100526208291	-0.405355498202258	-0.449738253256281	-1.19076003469262	-1.38668826186346	-1.37556129026987	0.4059781177847	-1.70806891846897	-0.49495706890525	-0.233623868909466	-0.865244061849995	1.64973144588572	1.47729303829717	0.00940811518603108	-0.485916367702103	-3.02945013933107	-2.29275585844001	-1.57745770938464	-1.92866741198509	-3.68167100582009	-0.837143963942532	-0.532711566674369	-2.05303051448132	-0.575360321774863	-2.1728875810216	-1.62025460998139	-1.69735807739602	-0.24995782044066	0.582810471270575	-0.498453724716123	-0.455176256605843	-2.62422016376601	-1.60871227121439	-1.21140209844679	-2.02612347726821	-2.27012124204878	-0.87590861587531	-0.465940095876898	-1.20190092250829	-1.30344300656491	-0.71658567230939	-0.888945178910323	-2.07611018398294	1.22026497994785	2.47400969438118	2.19125501732684	0.529003274145377	2.3294299496747	2.74924821933232	3.97913742954235	3.280701700421	1.97980684692887	1.45815732823706	0.208830294301847	0.35302652087361	-1.05590462256825	0.503544174069579	1.63896301025282	0.418547112368122	0.98680305099122	1.46203076587604	0.464396720621854	0.853255139895002	-1.81671025334471	-0.376646430029081	-2.50367203519968	-0.793208773137509	-0.222540687219078	-0.990251082458092	-0.253808631019445	-0.807296868479791	-0.388253803334562	-1.94588527328635
RREB1	6.16018822105538	4.80920794748086	5.34567994315603	6.15017542120922	4.27365144708664	7.61807887757697	2.53517696761403	3.40646541059393	3.54332101370207	3.87952176947305	0.567759425919033	2.32503817199796	-0.747579935207608	-0.283082463437796	2.61838058382843	2.31971174124241	5.36141475005711	6.30989827558574	3.27542515267526	3.91628847451875	-7.89261398960979	-7.60427491588668	-6.84691821980878	-6.56508961703386	-9.11766497767101	-4.11721257870296	-4.66114184889687	-6.13764324293242	-1.72003636718087	-9.19636826844016	-8.26790394049452	-5.36135791321346	-3.21503481287621	-5.11136232082605	-7.2969151357584	-7.07848164527181	-6.55364523522952	-5.93875188894389	-5.29717330712288	-8.62215368064358	-7.7161229800433	-4.69646341303884	-6.61335283139088	-5.7359804531365	-7.27269040565753	-6.42507108205169	-6.84192176465558	-7.22671947037686	-1.25406575108782	2.51012395331447	0.843139816491401	0.114484217774438	2.95162802941084	2.54639296236889	4.00978752077495	0.188374901687996	0.555143714911777	1.79785093680198	4.31878414188006	6.11300175690768	5.16476283424092	5.35276698405579	7.61033507582178	8.40795818358176	8.00600957468658	10.1389350618588	7.48177022297173	8.19991520033959	-10.1397333064823	-5.83011797247666	-10.2176800778747	-5.56653410092584	-8.48901259435928	-7.26953280822588	-6.16234517911327	-7.16187764540986	-5.82854261182118	-7.64947196090314
RXRA_VDR	1.05266439607432	-1.18678168920289	-0.78709386062491	-0.848707758676486	-0.340766111700769	0.946144144521455	0.28783142385377	0.238590549831718	-0.273379392743112	0.105917318936847	-1.28723580615131	0.216373769482901	-1.32926470419686	-0.956834294453005	-0.00335192614050635	-1.29308078149311	0.299411696240489	0.263862880910948	-0.478725132051446	-0.590363116459054	-2.10113137355247	-1.65907424234498	-1.34167704195977	-1.2398088410643	-1.38863327575978	-0.58872912812575	-0.337778914596082	-1.90807075498638	-0.758544266450369	-3.08367377385511	-3.47517351421179	-2.51224063995916	-1.23020209463718	-1.60544994677507	-2.38358058353329	-2.58974816848383	-3.71946604000651	-2.8779032656088	-2.52399511553725	-3.02220613468233	-3.34252164720935	-2.26329199001239	-2.01262863700255	-2.94808329513451	-2.63557309651418	-3.07428608024538	-2.40844203742219	-2.51201037642609	2.23824861902574	2.87268298828056	2.27182717355121	1.56341103420929	2.98438833629134	3.41741864531742	3.81397400480955	2.63004965889439	1.50359780345994	3.08749947439175	2.7896278787497	2.93745181369344	2.17327830383453	3.69811934952905	3.54496076259126	2.95315333527285	3.35345074361243	3.27637160816025	3.16614727127297	3.93082127835012	-2.53641141059678	-2.51888552815352	-2.88768354566744	-1.2677194472646	-1.4907526344698	-2.63288404265214	-2.50650728141896	-2.74827326025534	-2.75084041218635	-2.6565876498351
