name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
FOXF2	5.0516280336737	4.35018387047923	5.62868286879041	0	0
FOXD1	4.42536562491136	3.72862408329234	4.97661227730251	3.52470828881878e-264	1.0413179282492e-263
IRF2	3.17958035480488	2.62442499888289	3.685774804549	1.62577544709606e-116	2.75360396406061e-116
MAX_MYC	2.86204859068288	2.56340839445149	3.15083351650067	7.43792227180534e-88	1.09870678307262e-87
PPARG	2.77489250975887	2.31393498699194	3.19812031290579	1.20909245470416e-80	1.73071419954334e-80
PAX6	1.82524373657945	1.49342505206422	2.09033542849129	3.722800007434e-21	3.98124232199967e-21
PBX1	3.67576026660436	3.21900094644517	4.05307422358479	1.11941006648938e-168	2.29923273974167e-168
RORA	1.49863148533374	1.23083942591474	1.7218499562817	2.47274844260831e-09	2.53544887855401e-09
RREB1	5.83917740403015	5.27425581563652	6.31637005124066	0	0
RXRA_VDR	2.25897225982531	1.97779969120352	2.49457196644321	6.904039881902e-44	8.22636059593111e-44
SOX9	3.9125359978668	3.56692442105853	4.21616468692607	1.08783343418463e-196	2.46957274357002e-196
SRY	4.49917938778985	4.00586335085523	4.92406939150526	1.1765330830204e-274	3.62484240340096e-274
TAL1_TCF3	8.31935511066684	7.54759317139922	8.98908359479253	0	0
REL	4.12687361559126	3.52837862137691	4.61109536199283	9.10321142898896e-224	2.30069445099838e-223
RELA	4.5925065008891	3.96514927582198	5.1146042564671	3.55827747713945e-288	1.19906537901522e-287
NR1H2_RXRA	2.46098162314027	2.03349012577513	2.81127785723135	4.68672341262307e-57	6.01648819041096e-57
NFIC_TLX1	5.47369078809035	5.06750853715539	5.79341497397154	0	0
ZNF354C	5.03106349616666	4.62396298646761	5.37396834359972	0	0
CTCF	5.79519342940561	5.28690811336259	6.17105508217792	0	0
EWSR1-FLI1	8.83134817500068	8.04812433690394	9.47334852967343	0	0
REST	4.74495260823521	4.35326285131883	5.0480438196313	6.49910302250913e-311	2.37566082235218e-310
INSM1	4.61672554329121	4.28730904969584	4.90871823000081	9.84141433723242e-292	3.3689921038039e-291
RARA_RXRA	2.77601206139261	2.52176744181659	2.99306059880169	9.80932449369418e-81	1.40723568678939e-80
PLAG1	5.90247881758701	5.20438383820879	6.49273212946302	0	0
ARNT_HIF1A	1.62995048588558	1.33560934349946	1.86538172502208	1.63583790619138e-13	1.70707600855778e-13
DUX4	3.00595073186907	2.70163992182788	3.26427319435241	2.21291933262065e-100	3.466728349166e-100
FOS	6.39217925282396	5.3063499065776	7.13645073339857	0	0
FOSL2	6.65239130652039	5.81228599918774	7.3059512061121	0	0
FOXH1	3.28506636481963	3.05081546344432	3.46480822270169	7.39846062144075e-127	1.30430627304419e-126
