sig_HSC_CLP	sig_CLP_ProB	sig_ProB_PreB	sig_PreB_ImmatureB	sig_ImmatureB_TransitionalB	sig_TransitionalB_NaiveCD5neg	sig_TransitionalB_NaiveCD5pos	sig_NaiveCD5neg_NaiveCD5pos
ENSG00000000003	1	0	0	0	0	0	0	0
ENSG00000000460	0	0	0	1	0	0	0	0
ENSG00000000938	-1	0	0	-1	-1	0	0	0
ENSG00000000971	1	0	0	0	0	0	0	0
ENSG00000001036	0	1	0	1	0	0	0	0
ENSG00000001084	0	0	0	0	1	0	0	0
ENSG00000001561	0	0	1	-1	0	0	0	0
ENSG00000001617	0	-1	0	1	0	0	0	0
ENSG00000002549	-1	1	0	0	0	0	0	0
ENSG00000002586	-1	0	1	1	-1	0	0	0
ENSG00000002587	-1	0	-1	-1	0	0	0	0
ENSG00000002726	0	1	0	0	0	0	0	0
ENSG00000002745	0	0	-1	0	-1	0	0	0
ENSG00000002919	0	0	0	0	-1	0	0	0
ENSG00000002933	0	0	1	-1	0	0	0	0
ENSG00000003056	0	1	0	-1	0	0	0	0
ENSG00000003096	0	1	0	0	0	0	0	0
ENSG00000003147	0	1	1	0	0	0	0	0
ENSG00000003249	0	0	0	-1	0	0	0	0
ENSG00000003400	0	0	1	-1	-1	1	0	0
ENSG00000003436	1	1	1	0	0	0	0	0
ENSG00000003756	0	-1	0	0	0	0	0	0
ENSG00000004399	0	0	0	1	0	1	0	0
ENSG00000004455	0	1	0	1	0	0	0	0
ENSG00000004468	-1	0	-1	0	1	1	1	0
ENSG00000004478	0	0	1	1	-1	0	0	0
ENSG00000004487	0	0	0	1	0	0	0	0
ENSG00000004534	0	0	0	-1	0	0	0	0
ENSG00000004776	0	0	0	1	0	0	0	0
ENSG00000004777	0	0	0	1	1	0	0	0
ENSG00000004779	-1	0	0	1	0	0	0	0
ENSG00000004799	0	0	0	0	1	0	0	0
ENSG00000004809	0	0	1	1	0	0	0	0
ENSG00000004846	0	0	-1	0	0	0	0	0
ENSG00000004866	0	0	0	1	0	0	0	0
ENSG00000004939	0	0	0	0	1	0	0	0
ENSG00000004975	0	0	0	1	0	0	0	0
ENSG00000005007	0	-1	0	0	0	0	0	0
ENSG00000005020	-1	1	0	-1	0	0	0	0
ENSG00000005022	-1	0	0	1	0	1	1	0
ENSG00000005059	-1	0	0	0	0	0	0	0
ENSG00000005075	0	0	0	0	1	0	0	0
ENSG00000005187	1	0	-1	1	1	0	0	0
ENSG00000005189	0	0	0	1	0	0	0	0
ENSG00000005194	0	0	0	1	0	0	0	0
ENSG00000005206	0	-1	0	1	0	0	0	0
ENSG00000005302	0	0	-1	-1	0	0	0	0
ENSG00000005339	0	-1	0	0	0	0	0	0
ENSG00000005379	-1	0	0	1	1	0	0	0
ENSG00000005381	-1	1	0	0	1	0	0	0
ENSG00000005448	0	0	0	1	-1	0	0	0
ENSG00000005471	-1	0	-1	-1	0	0	0	0
ENSG00000005483	0	0	0	-1	0	0	0	0
ENSG00000005513	0	0	-1	0	1	0	0	0
ENSG00000005810	0	0	1	0	0	0	0	0
ENSG00000005844	-1	1	0	0	-1	0	0	0
ENSG00000005884	1	0	0	0	0	0	0	0
ENSG00000005889	0	-1	0	0	0	0	0	0
ENSG00000005893	0	1	0	0	0	0	0	0
ENSG00000005961	1	0	1	0	-1	0	0	0
ENSG00000006007	0	0	1	0	0	0	0	0
ENSG00000006015	0	0	1	0	0	0	0	0
ENSG00000006025	0	0	0	-1	0	0	0	0
ENSG00000006042	1	1	1	0	0	0	0	0
ENSG00000006047	0	0	0	1	0	0	0	0
ENSG00000006062	0	-1	0	-1	0	0	0	0
ENSG00000006282	1	1	0	0	-1	0	0	0
ENSG00000006432	0	0	0	-1	0	0	0	0
ENSG00000006453	0	0	0	-1	0	1	0	0
ENSG00000006459	1	-1	0	-1	0	0	0	0
ENSG00000006530	0	0	0	1	0	0	0	0
ENSG00000006534	0	0	1	0	0	0	0	0
ENSG00000006576	0	0	-1	-1	0	0	0	0
ENSG00000006607	0	0	-1	-1	0	0	0	0
ENSG00000006625	-1	1	0	1	0	0	0	0
ENSG00000006634	0	0	0	1	0	0	0	0
ENSG00000006638	0	0	1	0	-1	0	0	0
ENSG00000006695	0	1	0	0	0	0	0	0
ENSG00000006704	0	0	0	1	0	0	0	0
ENSG00000006712	0	-1	0	0	0	0	0	0
ENSG00000006744	0	0	0	1	0	0	0	0
ENSG00000006756	0	0	1	0	0	0	0	0
ENSG00000006757	0	0	0	1	-1	0	0	0
ENSG00000006831	0	0	0	1	0	0	0	0
ENSG00000007038	0	0	0	1	0	0	0	0
ENSG00000007062	0	1	1	0	0	0	0	0
ENSG00000007080	0	0	0	1	0	0	0	0
ENSG00000007171	0	-1	1	0	0	0	0	0
ENSG00000007237	-1	0	-1	1	0	1	1	0
ENSG00000007264	0	0	0	1	-1	0	0	0
ENSG00000007312	0	-1	0	0	1	0	0	0
ENSG00000007314	1	-1	0	0	0	0	0	0
ENSG00000007341	0	0	0	1	-1	0	0	0
ENSG00000007350	0	0	0	-1	0	0	0	0
ENSG00000007384	1	0	0	0	0	0	0	0
ENSG00000007516	0	0	-1	0	0	0	0	0
ENSG00000007545	0	0	-1	0	1	0	0	0
ENSG00000007944	0	0	-1	-1	0	0	0	0
ENSG00000007968	0	-1	0	1	1	1	1	0
ENSG00000008056	0	1	-1	1	0	0	0	0
ENSG00000008130	0	-1	-1	0	1	1	0	0
ENSG00000008256	0	-1	0	0	0	1	0	0
ENSG00000008277	0	0	0	1	0	0	0	0
ENSG00000008282	0	0	0	-1	0	0	0	0
ENSG00000008283	0	0	1	0	0	0	0	0
ENSG00000008294	0	0	0	1	0	0	0	0
ENSG00000008300	0	1	0	1	0	0	0	0
ENSG00000008311	1	-1	0	0	0	0	0	0
ENSG00000008323	1	0	0	0	0	0	0	0
ENSG00000008324	0	0	0	1	0	0	0	0
ENSG00000008394	0	1	0	0	0	0	0	0
ENSG00000008405	0	0	0	0	0	1	0	0
ENSG00000008438	0	0	0	0	1	0	0	0
ENSG00000008441	0	0	1	0	0	0	0	0
ENSG00000008513	0	-1	1	0	-1	0	0	0
ENSG00000008853	0	1	0	0	-1	0	0	0
ENSG00000008952	0	0	0	-1	0	0	0	0
ENSG00000008988	0	1	0	0	-1	0	0	0
ENSG00000009790	0	1	0	-1	-1	-1	0	0
ENSG00000009844	0	0	0	0	1	0	0	0
ENSG00000009954	0	0	0	1	0	0	0	0
ENSG00000010017	0	0	0	1	0	0	0	0
ENSG00000010030	0	0	1	0	0	0	0	0
ENSG00000010072	0	0	-1	0	0	0	0	0
ENSG00000010256	0	0	0	1	0	0	0	0
ENSG00000010270	-1	0	0	0	0	0	0	0
ENSG00000010278	0	-1	0	0	1	1	1	0
ENSG00000010292	-1	0	-1	1	0	0	0	0
ENSG00000010310	0	0	0	0	1	0	0	0
ENSG00000010327	0	1	1	0	0	1	0	0
ENSG00000010361	0	0	0	1	0	0	0	0
ENSG00000010404	0	1	0	0	0	0	0	0
ENSG00000010610	0	0	1	-1	0	0	0	0
ENSG00000010671	0	0	-1	0	0	0	0	0
ENSG00000010803	0	-1	0	1	0	0	0	0
ENSG00000010810	0	-1	1	-1	0	0	0	0
ENSG00000010818	0	-1	0	0	0	0	0	0
ENSG00000010932	0	0	-1	-1	1	1	0	0
ENSG00000011021	0	0	0	-1	0	0	0	0
ENSG00000011028	0	1	1	1	0	0	0	0
ENSG00000011105	0	-1	1	0	0	0	0	0
ENSG00000011114	0	-1	0	0	0	0	0	0
ENSG00000011132	0	-1	0	0	0	0	0	0
ENSG00000011143	0	0	0	1	-1	0	0	0
ENSG00000011201	1	0	0	0	0	0	0	0
ENSG00000011243	0	-1	0	0	0	0	0	0
ENSG00000011260	0	0	0	1	0	0	0	0
ENSG00000011295	0	0	1	0	-1	0	0	0
ENSG00000011304	0	0	0	1	0	0	0	0
ENSG00000011332	0	1	0	0	0	0	0	0
ENSG00000011376	0	0	0	1	0	1	0	0
ENSG00000011405	1	0	0	0	0	0	0	0
ENSG00000011422	0	0	1	0	0	1	0	0
ENSG00000011426	-1	0	0	1	0	0	0	0
ENSG00000011454	1	0	0	0	0	0	0	0
ENSG00000011485	0	0	0	1	0	0	0	0
ENSG00000011523	0	0	0	1	0	0	0	0
ENSG00000011566	0	0	0	0	0	1	0	0
ENSG00000011590	0	0	0	-1	0	0	0	0
ENSG00000011600	-1	1	0	-1	0	1	0	0
ENSG00000011638	0	0	0	-1	1	0	0	0
ENSG00000012048	0	0	0	1	0	0	0	0
ENSG00000012061	0	1	0	0	0	0	0	0
ENSG00000012124	-1	-1	0	-1	0	0	0	0
ENSG00000012211	1	0	0	-1	0	0	0	0
ENSG00000012223	0	0	0	0	1	0	0	0
ENSG00000012660	0	0	-1	-1	-1	0	0	0
ENSG00000012779	0	-1	0	-1	0	0	0	0
ENSG00000012822	1	-1	0	0	0	0	0	0
ENSG00000012963	0	0	0	1	0	0	0	0
ENSG00000012983	0	0	-1	0	0	0	0	0
ENSG00000013016	0	-1	0	-1	0	0	0	0
ENSG00000013288	0	1	-1	-1	1	0	0	0
ENSG00000013364	0	0	1	-1	0	0	0	0
ENSG00000013441	0	0	0	-1	0	0	0	0
ENSG00000013563	0	0	0	-1	0	0	0	0
ENSG00000013573	0	0	0	1	-1	0	0	0
ENSG00000013583	0	1	0	1	1	-1	0	0
ENSG00000013619	0	0	0	0	-1	0	0	0
ENSG00000013725	0	0	0	0	0	0	-1	0
ENSG00000013810	0	0	-1	1	-1	1	0	0
ENSG00000014123	0	0	0	0	-1	0	0	0
ENSG00000014138	0	-1	0	1	0	0	0	0
ENSG00000014216	0	0	-1	0	1	0	0	0
ENSG00000014641	-1	0	0	1	0	0	0	0
ENSG00000014914	-1	1	0	0	0	0	0	0
ENSG00000014919	0	0	0	1	0	0	0	0
ENSG00000015133	0	0	0	0	-1	0	0	0
ENSG00000015285	0	0	-1	0	0	0	0	0
ENSG00000015413	0	-1	0	1	0	0	0	0
ENSG00000015475	-1	0	0	1	0	0	0	0
ENSG00000015676	0	0	0	0	-1	0	0	0
ENSG00000016864	0	0	0	1	0	0	0	0
ENSG00000017427	0	0	1	0	0	0	0	0
ENSG00000017483	0	0	0	1	0	0	0	0
ENSG00000017797	0	0	-1	1	0	0	0	0
ENSG00000018189	-1	0	0	0	0	0	0	0
ENSG00000018280	0	0	1	-1	0	0	0	0
ENSG00000018408	1	0	0	0	0	0	0	0
ENSG00000018510	0	0	0	1	0	0	0	0
ENSG00000019144	0	1	0	0	0	0	0	0
ENSG00000019485	1	1	-1	0	0	0	0	0
ENSG00000019582	-1	-1	0	-1	0	0	0	0
ENSG00000019991	-1	1	0	0	0	0	0	0
ENSG00000019995	0	0	0	1	0	0	0	0
ENSG00000020181	0	1	0	0	0	0	0	0
ENSG00000020256	0	0	0	1	0	0	0	0
ENSG00000020577	0	0	0	0	-1	0	0	0
ENSG00000020633	0	1	0	0	-1	0	0	0
ENSG00000021355	0	1	1	0	0	0	0	0
ENSG00000021645	0	-1	1	1	0	0	0	0
ENSG00000021762	0	0	0	1	0	1	1	0
ENSG00000022267	0	0	1	1	0	0	1	0
ENSG00000022567	0	0	-1	0	0	0	0	0
ENSG00000023041	-1	0	0	0	0	0	0	0
ENSG00000023171	0	0	0	1	0	1	1	0
ENSG00000023191	0	0	0	-1	0	0	0	0
ENSG00000023228	0	0	0	1	0	0	0	0
ENSG00000023287	0	-1	0	0	0	0	0	0
ENSG00000023318	-1	0	0	0	0	0	0	0
ENSG00000023445	0	0	0	-1	0	0	0	0
ENSG00000023572	0	0	0	1	0	0	0	0
ENSG00000023697	-1	1	0	1	0	0	0	0
ENSG00000023734	-1	0	0	0	1	0	0	0
ENSG00000023892	0	0	0	-1	0	0	0	0
ENSG00000023902	-1	0	0	0	0	0	0	0
ENSG00000023909	0	0	0	1	0	-1	0	0
ENSG00000024422	1	0	1	0	0	0	0	0
ENSG00000024526	-1	0	0	1	0	0	0	0
ENSG00000024862	0	0	-1	0	0	0	0	0
ENSG00000025039	0	0	0	1	0	0	0	0
ENSG00000025293	0	0	0	0	-1	0	0	0
ENSG00000025423	0	0	0	1	0	0	0	0
ENSG00000025434	0	0	0	1	0	0	0	0
ENSG00000025708	0	0	1	-1	-1	0	0	0
ENSG00000025770	-1	0	0	1	0	0	0	0
ENSG00000025796	0	-1	1	0	0	0	0	0
ENSG00000026025	-1	1	0	0	1	0	0	0
ENSG00000026103	0	1	0	0	0	0	0	0
ENSG00000026297	-1	0	1	-1	0	0	0	0
ENSG00000026508	0	1	1	-1	-1	0	0	0
ENSG00000026559	0	0	0	0	0	-1	-1	0
ENSG00000026652	1	0	0	-1	0	1	1	0
ENSG00000026950	1	-1	0	-1	0	0	0	0
ENSG00000027075	0	0	1	0	0	0	0	0
ENSG00000027697	-1	0	0	-1	0	0	0	0
ENSG00000028137	-1	1	1	-1	-1	0	0	0
ENSG00000028203	0	0	1	0	0	0	0	0
ENSG00000028277	0	1	-1	-1	0	0	0	0
ENSG00000028839	0	0	0	1	0	0	0	0
ENSG00000029153	0	0	0	1	0	0	0	0
ENSG00000029534	0	-1	0	-1	0	0	0	0
ENSG00000029639	0	0	0	1	-1	0	0	0
ENSG00000029725	0	0	-1	0	-1	0	0	0
ENSG00000029993	0	0	0	1	0	0	1	0
ENSG00000030066	0	0	-1	0	0	0	0	0
ENSG00000030419	1	-1	-1	0	0	0	0	0
ENSG00000030582	-1	1	-1	-1	1	0	0	0
ENSG00000031081	0	1	0	0	0	0	0	0
ENSG00000031691	0	0	0	1	0	0	0	0
ENSG00000031698	-1	0	0	0	0	0	0	0
ENSG00000032389	0	-1	1	0	0	0	0	0
ENSG00000032444	0	-1	0	0	0	0	0	0
ENSG00000032742	0	0	0	1	0	0	0	0
ENSG00000033030	0	0	0	1	0	0	0	0
ENSG00000033100	1	0	0	0	0	0	0	0
ENSG00000033170	0	0	0	-1	0	0	0	0
ENSG00000033327	0	0	1	0	0	1	0	0
ENSG00000033627	1	0	0	-1	0	0	0	0
ENSG00000033800	0	-1	0	0	0	0	0	0
ENSG00000034152	0	0	-1	0	1	1	0	0
ENSG00000034510	-1	0	0	-1	0	0	0	0
ENSG00000034677	0	0	0	-1	0	0	0	0
ENSG00000034693	0	0	0	1	-1	0	0	0
ENSG00000035141	0	1	0	0	0	0	0	0
ENSG00000035403	0	1	1	-1	0	0	0	0
ENSG00000035499	-1	0	0	1	0	0	0	0
ENSG00000035664	0	0	0	-1	0	0	0	0
ENSG00000035720	0	0	0	-1	0	0	0	0
ENSG00000035862	0	1	0	0	0	0	0	0
ENSG00000036448	0	0	0	1	0	0	0	0
ENSG00000036530	0	0	-1	0	1	0	0	0
ENSG00000036672	0	1	1	0	0	0	0	0
ENSG00000037042	0	0	1	0	0	-1	-1	0
ENSG00000037241	0	0	0	1	0	0	0	0
ENSG00000037280	0	-1	1	0	0	0	0	0
ENSG00000037757	0	1	0	0	0	0	0	0
ENSG00000037897	0	0	1	1	-1	0	0	0
ENSG00000038382	0	0	0	-1	-1	0	0	0
ENSG00000038427	0	0	0	0	0	1	0	0
ENSG00000038532	0	-1	0	0	0	0	0	0
ENSG00000038945	0	0	0	0	0	1	0	0
ENSG00000039319	0	-1	0	0	0	0	0	0
ENSG00000039523	0	-1	0	-1	1	0	0	0
ENSG00000039560	0	-1	0	1	0	0	0	0
ENSG00000040199	0	0	0	-1	0	0	0	0
ENSG00000040275	0	0	0	1	0	0	0	0
ENSG00000040531	0	0	-1	0	0	0	0	0
ENSG00000040608	0	0	1	1	0	0	0	0
ENSG00000040933	0	0	0	0	1	1	0	0
ENSG00000041353	1	1	0	0	0	0	0	0
ENSG00000041880	0	0	0	0	-1	0	0	0
ENSG00000042062	1	0	1	0	0	0	0	0
ENSG00000042088	0	0	0	1	0	0	0	0
ENSG00000042317	0	0	0	1	0	0	0	0
ENSG00000042493	-1	1	0	-1	0	1	1	0
ENSG00000042753	-1	0	0	0	0	0	0	0
ENSG00000042813	0	1	-1	0	0	0	0	0
ENSG00000042980	0	1	0	-1	-1	-1	0	0
ENSG00000043143	0	-1	1	1	-1	0	0	0
ENSG00000043462	0	0	1	0	0	0	0	0
ENSG00000043514	0	0	0	1	0	0	0	0
ENSG00000043591	-1	0	0	0	0	0	0	0
ENSG00000044115	1	0	0	1	0	-1	0	0
ENSG00000044459	0	0	0	1	0	0	0	0
ENSG00000044574	-1	1	0	0	0	0	0	0
ENSG00000046604	0	1	1	1	0	0	0	0
ENSG00000046651	0	-1	0	0	0	0	0	0
ENSG00000046653	-1	0	0	1	0	0	0	0
ENSG00000046889	1	1	1	0	0	0	0	0
ENSG00000047056	0	-1	0	0	0	0	0	0
ENSG00000047315	0	-1	0	0	0	0	0	0
ENSG00000047346	0	-1	0	-1	0	0	0	0
