TF	n_OCRs
ZNF354C	13591
PRDM9	12748
CTCF	11892
SPIB	11840
KLF5	10873
ZNF148	10674
ZNF281	10609
KLF4	10602
ZNF460	10531
PATZ1	10531
EWSR1-FLI1	10403
SP4	10289
ZNF384	10161
SP5	10091
STAT1_STAT2	9945
KLF1	9760
IKZF1	9739
ZNF530	9712
ELF3	9503
EHF	9460
SP1	9353
ZKSCAN5	9178
KLF10	9096
MAZ	9073
GABPA	8782
KLF9	8718
KLF15	8716
ETV1	8711
ZNF320	8613
KLF16	8605
ZNF263	8574
ELF1	8492
SP2	8471
KLF7	8391
RREB1	8390
TFAP2A	8354
ZNF701	8331
KLF2	8244
ZNF257	8195
SP9	8167
TFAP2C	8099
SP3	8086
KLF12	7952
KLF14	7936
MEF2A	7749
SP8	7562
ZFP14	7400
E2F6	7372
ZNF354A	7355
ASCL1	7328
KLF11	7319
FOXD3	7308
MEF2C	7244
ZNF93	7232
TFAP2B	7056
SPIC	7030
ZNF454	7011
EGR1	6889
PRDM1	6819
ZIM3	6801
NR2C2	6794
FOXE1	6652
FOXJ2_ELF1	6560
FOXO1_ELK1	6544
ZNF610	6481
PHOX2B	6477
THRB	6462
NR2F1	6400
ZNF135	6395
FOXC2	6284
CTCFL	6272
KLF6	6242
HOXB13	6233
IRF3	6178
FLI1_FOXI1	6021
FOXO1_ELF1	5898
ZNF768	5827
ETV2_FOXI1	5797
ERF_FOXI1	5770
KLF17	5769
THAP1	5723
IRF7	5680
FOXD2	5568
ETV5_FIGLA	5520
MEF2D	5473
FOXP2	5452
KLF3	5377
FOXC1	5361
FOXO1_FLI1	5226
ZNF682	5217
TFAP4_ETV1	5152
POU3F3	5149
PLAG1	5125
STAT3	5031
ERF_FOXO1	5028
ZNF549	5027
TCF4	5005
SOX10	4974
ZNF680	4947
ZNF331	4939
TCF12	4912
RARA	4868
IRF9	4847
NFIC	4847
POU2F3	4840
INSM1	4811
TCF3	4811
POU3F1	4759
FOXB1	4757
SOX15	4741
ZNF707	4733
ETV2_FIGLA	4702
ZNF418	4702
ETV7	4698
MEIS2	4680
FOXO1_ELK3	4668
HNF4A	4665
ZEB1	4663
ETV5_FOXI1	4650
POU3F2	4635
JUND	4629
RBPJ	4624
THRA	4605
ZNF740	4603
EGR3	4602
MEF2B	4573
IRF2	4567
ZBTB6	4565
ZBTB7A	4560
OSR2	4553
TFAP4_FLI1	4553
EBF3	4549
ZBTB26	4540
ETV5_FOXO1	4527
EBF1	4494
ZNF16	4492
MEIS1	4467
ZNF816	4447
SNAI1	4431
POU4F1	4403
NEUROG2	4374
POU5F1	4366
POU1F1	4362
EGR4	4349
BHLHE22	4303
PBX3	4301
TBX18	4283
ZNF449	4241
STAT1	4239
SRY	4216
ZNF189	4213
ZNF708	4198
POU2F1	4175
ZBTB14	4154
ZBTB18	4152
POU2F2	4142
MYOD1	4131
ETV6	4129
MAFK	4125
POU4F3	4112
SREBF1	4104
RXRG	4092
REST	4053
NFIX	4049
POU4F2	4040
ZNF76	4038
POU2F1_SOX2	4008
ELK4	4000
ERF_FIGLA	3997
TCF7L1	3966
ERF_NHLH1	3959
CDX2	3958
ZNF24	3938
RXRB	3937
SOX4	3932
ZNF528	3927
FOXA1	3913
TFDP1	3908
SNAI3	3894
FOS	3877
RUNX3	3861
NR4A1	3822
PROP1	3815
TCF7L2	3800
FOSL2_JUN	3787
POU5F1B	3772
PKNOX1	3767
ZNF675	3764
MYOG	3748
SNAI2	3733
ZNF324	3709
ONECUT1	3690
ZNF416	3680
FOXA2	3674
FOXP1	3664
RORA	3651
ZNF317	3649
FOSL1_JUND	3628
TFAP4	3615
NHLH2	3604
ZNF574	3585
ZKSCAN3	3582
NFIB	3573
NHLH1	3572
ZNF692	3571
ZSCAN4	3567
IRF8	3556
JUNB	3536
FOS_JUN	3522
NEUROD1	3509
ZNF343	3509
FOSL2_JUND	3477
ZFP42	3471
HOXA10	3466
ZNF75D	3466
MSC	3449
ELF2	3439
ZNF684	3420
FOXK2	3413
JDP2	3411
FIGLA	3335
MAFF	3329
FOSL1_JUN	3318
ELF4	3309
NFATC4	3304
PPARA_RXRA	3299
POU3F4	3296
NFATC3	3296
FOXA3	3287
ZIC5	3251
PBX2	3246
FOXG1	3245
FOXK1	3229
FOSL2_JUNB	3215
TWIST1	3191
RARA_RXRG	3188
BATF3	3188
ONECUT3	3184
RELA	3182
ZNF140	3176
MZF1	3160
BATF_JUN	3131
POU6F1	3129
HNF1A	3128
BATF	3119
FOSB_JUNB	3118
MAF_NFE2	3117
CEBPG	3116
SREBF2	3113
JUN_JUNB	3112
IRF4	3102
PHOX2A	3096
GATA6	3092
EGR2	3086
BARX2	3080
ETV2	3079
ZIC4	3069
HAND2	3057
SIX2	3056
TCFL5	3051
FERD3L	3050
NKX2-2	3043
ZNF341	3029
ZNF582	3026
TCF7	3025
ZIC1	3021
TRPS1	3001
ESR2	3000
HNF4G	2999
MAFG_NFE2L1	2996
RARA_RXRA	2987
FOXF2	2974
PPARD	2961
NFYB	2950
ZNF652	2943
HOXD9	2935
ESRRA	2932
REL	2924
GATA4	2924
ATF2	2923
PLAGL2	2910
NR2F2	2905
TAL1_TCF3	2869
CREB1	2854
GRHL2	2853
ZNF282	2852
CDX4	2848
ETV5_DRGX	2820
ELK3	2819
ZBTB12	2805
JUN	2798
TBX1	2797
MSANTD3	2787
NFYC	2783
BNC2	2778
ERF	2776
ZNF143	2767
MYF5	2753
DUX4	2745
KLF13	2745
ETS1	2743
SMAD2	2733
NFYA	2727
YY2	2716
TBX20	2710
ZNF85	2710
GFI1	2686
NR6A1	2670
BACH2	2664
SCRT2	2654
NR4A2	2635
PKNOX2	2624
NKX6-1	2610
FEV	2598
TEAD4	2593
CREB3L4	2589
SATB1	2583
FOXH1	2577
BCL6B	2572
FOSL2	2566
TEAD1	2545
TBX3	2537
SCRT1	2531
FOXI1	2527
FOXL1	2527
FOXO4	2527
FOXO6	2527
FOXP3	2527
ELK1	2526
FOSL1	2526
TBX2	2524
FOXD1	2515
ZNF667	2507
HIC2	2503
ZNF274	2503
ETV4	2503
ZNF136	2502
SOX8	2488
CDX1	2488
CEBPA	2480
BACH1	2475
TBR1	2466
NFIL3	2465
HSF2	2460
MYF6	2454
MGA	2450
TBX15	2450
SIX1	2447
DMRTA1	2435
ETV5	2431
MEIS3	2426
SOX21	2422
GATA2	2420
HOXD12_ELK1	2415
NFIC_TLX1	2414
TBX21	2413
FLI1	2410
ESRRB	2389
NR1D1	2383
MGA_EVX1	2378
TFAP2E	2373
FOS_JUND	2372
ATF4	2360
NR1H2_RXRA	2357
USF1	2352
HNF1B	2346
DMRTC2	2341
EOMES	2338
LMX1B	2324
NKX2-4	2323
MXI1	2310
TEAD2	2306
GLI3	2278
ZNF382	2268
BCL6	2268
ETV3	2266
FOSL1_JUNB	2237
TBX4	2205
TBX5	2205
HSF1	2203
HES1	2201
ELK1_HOXA1	2199
HINFP	2197
ERF_HOXB13	2195
CEBPD	2194
NR1D2	2190
ZNF214	2189
ETS2	2188
ZNF417	2176
GATA1_TAL1	2157
PPARG	2149
ELK1_SREBF2	2148
GATA1	2135
NKX2-5	2130
ZBTB7C	2128
DMRTA2	2126
HOXB2_ELK1	2126
NKX6-2	2119
NR1I3	2118
HSF4	2099
HLF	2086
ZBTB33	2077
TGIF1	2077
HOXD4	2066
ARGFX	2059
LMX1A	2056
POU6F2	2048
RELB	2047
PBX1	2046
FLI1_DRGX	2046
TGIF2	2039
ELK1_HOXB13	2021
NR2C1	2018
IRF5	2015
NFKB1	2012
NRL	2009
ZBTB32	2007
NFIA	2001
VEZF1	1992
GLIS2	1991
NKX2-3	1988
MYB	1985
ETV2_DRGX	1985
FOS_JUNB	1977
OTX2	1977
NKX6-3	1962
NR1I2	1958
NKX2-8	1954
PAX3	1952
SOX2	1944
SOX13	1928
MEOX2	1918
SOX9	1916
RUNX2	1900
NFKB2	1897
LHX2	1897
ALX3	1876
TEAD3	1862
ZNF8	1849
ZNF211	1849
RORC	1844
SOX18	1840
GATA5	1832
PITX2	1828
RFX5	1819
HOXC13	1810
HOXC4	1785
ISL2	1779
RORB	1772
MYC	1754
GSX1	1750
RFX3	1749
E2F7	1743
LBX1	1730
PRRX1	1726
UNCX	1726
ZNF669	1724
ZNF410	1722
ZBTB7B	1708
TFEC	1707
MAFA	1705
RFX2	1699
RFX1	1697
NFE2	1686
HOXB4	1670
ETV5_HOXA2	1667
E2F8	1663
VSX1	1661
VSX2	1661
TFEB	1649
MAF	1599
ZSCAN31	1598
FOSB_JUN	1597
DMRT3	1593
LHX9	1593
HOXC10	1592
RXRA_VDR	1588
ESR1	1578
PAX5	1576
VAX1	1567
MAX	1566
ATOH7	1558
PRRX2	1557
GLIS3	1554
MTF1	1545
RAX2	1543
NOTO	1539
SHOX	1530
ISX	1530
RAX	1526
HES2	1517
SPDEF	1513
MEOX1	1506
PDX1	1500
MIXL1	1473
DRGX	1472
HOXB3	1466
HOXD3	1465
NR2F6	1457
ZKSCAN1	1450
MAX_MYC	1448
ESX1	1445
PITX3	1443
ATF3	1438
ARNT2	1428
MITF	1423
DUXA	1422
MNX1	1421
HOXB6	1413
TLX2	1409
ZFP57	1409
RHOXF1	1389
HOXD11	1387
BSX	1373
CREM	1372
ERF_SREBF2	1369
ETV2_HOXB13	1361
TGIF2LX	1358
NR1H4_RXRA	1353
MSX1	1350
MSX2	1350
PAX6	1337
GBX2	1337
SOX14	1337
CLOCK	1332
LBX2	1331
MNT	1330
MYCN	1328
LHX5	1326
HESX1	1300
HES6	1299
CREB3L1	1298
NR4A2_RXRA	1293
RARB	1289
TGIF2LY	1286
HOXA7	1273
HOXA4	1268
ATF7	1261
HOXC9	1259
HOXC12	1255
ZBED2	1248
HOXD10	1244
DLX6	1243
GLIS1	1237
TFE3	1232
USF2	1223
MLX	1217
HOXB9	1209
CREB3	1204
HEY2	1204
HMBOX1	1200
HOXB7	1188
NR3C1	1183
GSX2	1183
RARG	1176
BARX1	1174
LHX6	1173
GCM1	1167
GSC	1167
HEY1	1167
GSC2	1165
ATF6	1164
DLX1	1155
PAX9	1153
TP73	1151
MLXIPL	1147
OSR1	1140
DPRX	1131
HOXA6	1129
NR3C2	1127
RFX7	1120
PAX2	1098
GRHL1	1096
PROX1	1090
EMX2	1069
HIF1A	1069
HOXA1	1067
EN1	1064
VAX2	1064
HES7	1062
GBX1	1058
PAX1	1052
EMX1	1034
SRF	1027
EN2	1024
HOXA5	1023
TP53	1006
BHLHE40	1002
HOXB8	998
HOXD8	998
RFX4	994
TEF	983
XBP1	972
HOXC11	971
HOXD12	966
PITX1	966
PAX4	965
SOHLH2	963
ZSCAN29	955
EVX1	949
EVX2	934
TCF21	929
SOX12	926
TP63	925
ZNF784	925
HOXA2	922
HOXC8	916
VENTX	914
TBX19	910
E2F2	910
DBP	901
BHLHE41	892
GCM2	889
HOXB2	885
HOXB5	883
ARNT_HIF1A	878
OLIG3	863
TBXT	830
HES5	803
BHLHE23	779
TFCP2	771
BHLHA15	767
IRF6	766
OLIG2	765
OLIG1	754
BARHL2	727
OTX1	724
FOXN3	701
NEUROG1	689
E2F4	667
CUX1	659
BARHL1	644
SMAD3	623
CUX2	615
E2F1	602
CEBPE	531
SMAD5	511
OVOL1	493
GMEB2	489
OVOL2	479
CEBPB	466
MYBL1	459
MYBL2	427
ONECUT2	357
E2F3	349
HOXA9	347
ZBED1	288
